Plate,Time,Plate_replicate,Well,Well_replicate,Type,Abs
P_1032,15,A,A1,A,Unknown,2.1248
P_1032,15,A,A2,A,Unknown,2.7291
P_1032,15,A,A3,A,Unknown,2.4726
P_1032,15,A,A4,A,Unknown,3.0772
P_1032,15,A,A5,A,Unknown,1.4274
P_1032,15,A,A6,A,Blank,0.096473
P_1032,15,A,B1,A,Unknown,1.0254
P_1032,15,A,B2,A,Unknown,2.5304
P_1032,15,A,B3,A,Unknown,1.6001
P_1032,15,A,B4,A,Unknown,2.6553
P_1032,15,A,B5,A,Unknown,1.5635
P_1032,15,A,B6,A,Blank,0.07331
P_1032,15,A,C1,A,Unknown,0.88173
P_1032,15,A,C2,A,Unknown,2.5052
P_1032,15,A,C3,A,Unknown,2.1841
P_1032,15,A,C4,A,Unknown,2.4571
P_1032,15,A,C5,A,Unknown,2.2256
P_1032,15,A,C6,A,Blank,0.062441
P_1032,15,A,D1,A,Unknown,2.5469
P_1032,15,A,D2,A,Unknown,2.5476
P_1032,15,A,D3,A,Unknown,2.5966
P_1032,15,A,D4,A,Unknown,2.4464
P_1032,15,A,D5,A,Unknown,0.58197
P_1032,15,A,D6,A,Blank,0.059013
P_1032,15,A,E1,A,Unknown,0.92949
P_1032,15,A,E2,A,Unknown,2.6308
P_1032,15,A,E3,A,Unknown,2.0041
P_1032,15,A,E4,A,Unknown,1.2002
P_1032,15,A,E5,A,Unknown,2.2146
P_1032,15,A,E6,A,Blank,0.058333
P_1032,15,A,F1,A,Unknown,2.9039
P_1032,15,A,F2,A,Unknown,2.7241
P_1032,15,A,F3,A,Unknown,1.1282
P_1032,15,A,F4,A,Unknown,2.0222
P_1032,15,A,F5,A,Unknown,1.8829
P_1032,15,A,F6,A,Negative,0.10248
P_1032,15,A,G1,A,Unknown,2.4939
P_1032,15,A,G2,A,Unknown,1.9545
P_1032,15,A,G3,A,Unknown,1.6496
P_1032,15,A,G4,A,Unknown,2.5009
P_1032,15,A,G5,A,Unknown,2.735
P_1032,15,A,G6,A,Positive,2.6221
P_1032,15,A,H1,A,Unknown,3.0094
P_1032,15,A,H2,A,Unknown,1.0668
P_1032,15,A,H3,A,Unknown,1.3865
P_1032,15,A,H4,A,Unknown,2.0472
P_1032,15,A,H5,A,Unknown,2.7473
P_1032,15,A,H6,A,Positive,2.7803
P_1032,15,A,A7,B,Unknown,1.5028
P_1032,15,A,A8,B,Unknown,2.4445
P_1032,15,A,A9,B,Unknown,2.0984
P_1032,15,A,A10,B,Unknown,2.9848
P_1032,15,A,A11,B,Unknown,1.5224
P_1032,15,A,A12,B,Blank,0.079517
P_1032,15,A,B7,B,Unknown,0.77565
P_1032,15,A,B8,B,Unknown,2.5418
P_1032,15,A,B9,B,Unknown,1.432
P_1032,15,A,B10,B,Unknown,2.6826
P_1032,15,A,B11,B,Unknown,1.5524
P_1032,15,A,B12,B,Blank,0.060688
P_1032,15,A,C7,B,Unknown,0.672
P_1032,15,A,C8,B,Unknown,2.5233
P_1032,15,A,C9,B,Unknown,2.0055
P_1032,15,A,C10,B,Unknown,2.4873
P_1032,15,A,C11,B,Unknown,2.2158
P_1032,15,A,C12,B,Blank,0.060904
P_1032,15,A,D7,B,Unknown,2.471
P_1032,15,A,D8,B,Unknown,2.399
P_1032,15,A,D9,B,Unknown,2.5738
P_1032,15,A,D10,B,Unknown,2.4696
P_1032,15,A,D11,B,Unknown,0.49555
P_1032,15,A,D12,B,Blank,0.061717
P_1032,15,A,E7,B,Unknown,0.76701
P_1032,15,A,E8,B,Unknown,2.3861
P_1032,15,A,E9,B,Unknown,1.8854
P_1032,15,A,E10,B,Unknown,0.90523
P_1032,15,A,E11,B,Unknown,1.9409
P_1032,15,A,E12,B,Blank,0.06402
P_1032,15,A,F7,B,Unknown,2.9347
