Plate_replicate,Well_replicate,Type,Outcome,Well,Abs
A,A,Unknown,Not detected,A1/A7,0.073123
A,A,Unknown,Not detected,B1/B7,0.065815
A,A,Unknown,Not detected,C1/C7,0.10453
A,A,Unknown,Not detected,D1/D7,0.055579
A,A,Unknown,Not detected,E1/E7,0.062639
A,A,Unknown,Not detected,F1/F7,0.06316
A,A,Unknown,Not detected,G1/G7,0.077286
A,A,Unknown,Not detected,H1/H7,0.080031
A,A,Unknown,Not detected,A2/A8,0.092051
A,A,Unknown,Not detected,B2/B8,0.077721
A,A,Unknown,Not detected,C2/C8,0.070202
A,A,Unknown,Not detected,D2/D8,0.069331
A,A,Unknown,Not detected,E2/E8,0.44517
A,A,Unknown,Not detected,F2/F8,0.11432
A,A,Unknown,Not detected,G2/G8,0.080105
A,A,Unknown,Not detected,H2/H8,0.078241
A,A,Unknown,Not detected,A3/A9,0.080824
A,A,Unknown,Not detected,B3/B8,0.080333
A,A,Unknown,Not detected,C3/C9,0.071604
A,A,Unknown,Not detected,D3/D9,0.079844
A,A,Unknown,Not detected,E3/E9,0.072162
A,A,Unknown,Not detected,F3/F9,0.07552
A,A,Unknown,Not detected,G3/G9,0.067921
A,A,Unknown,Not detected,H3/H9,0.059593
A,A,Unknown,Not detected,A4/A10,0.077646
A,A,Unknown,Not detected,B4/B10,0.06747
A,A,Unknown,Not detected,C4/C10,0.14148
A,A,Unknown,Not detected,D4/D10,0.070381
A,A,Unknown,Not detected,E4/E10,0.057754
A,A,Unknown,Not detected,F4/F10,0.098224
A,A,Unknown,Not detected,G4/G10,0.063966
A,A,Unknown,Not detected,H4/H10,0.075878
A,A,Unknown,Not detected,A5/A11,0.13325
A,A,Unknown,Not detected,B5/B11,0.069312
A,A,Unknown,Not detected,C5/C11,0.084674
A,A,Unknown,Not detected,D5/D11,0.060151
A,A,Unknown,Not detected,E5/E11,0.065041
A,A,Unknown,Not detected,F5/F11,0.071909
A,A,Unknown,Not detected,G5/G11,0.077599
A,A,Unknown,Not detected,H5/H11,0.085488
A,A,Blank,Not detected,A6/A12,0.06007
A,A,Blank,Not detected,B6/B12,0.044107
A,A,Blank,Not detected,C6/C12,0.05953
A,A,Blank,Not detected,D6/D12,0.061018
A,A,Blank,Not detected,E6/E12,0.059533
A,A,Negative,Not detected,F6/F12,0.091427
A,A,Positive,Not detected,G6/G12,2.3787
A,A,Positive,Not detected,H6/H12,2.4638
A,B,Unknown,Not detected,A1/A7,0.063952
A,B,Unknown,Not detected,B1/B7,0.076873
A,B,Unknown,Not detected,C1/C7,0.086867
