Run,Plate_side,Sample,Concentration,Abs
test1,Robot,Standard,0.2,3.0202
test1,Robot,Standard,0.066666666666667,2.4234
test1,Robot,Standard,0.022222222222222,1.4587
test1,Robot,Standard,0.007407407407407,0.80589
test1,Robot,Standard,0.002469135802469,0.37656
test1,Robot,Standard,0.00082304526749,0.20738
test1,Robot,Negative,0,0.14471
test1,Robot,Standard,0,0.064623
test1,Manual,Standard,0.2,2.915
test1,Manual,Standard,0.066666666666667,2.1972
test1,Manual,Standard,0.022222222222222,1.4328
test1,Manual,Standard,0.007407407407407,0.78404
test1,Manual,Standard,0.002469135802469,0.3976
test1,Manual,Standard,0.00082304526749,0.20665
test1,Manual,Negative,0,0.074812
test1,Manual,Standard,0,0.056875
test1,Robot,A4,,3.3087
test1,Robot,D5,,0.45484
test1,Robot,E4,,0.97305
test1,Robot,F1,,3.176
test1,Robot,F3,,1.7704
test1,Robot,G2,,2.4754
test1,Robot,H1,,3.1661
test1,Robot,A4,,3.2251
test1,Robot,D5,,0.39934
test1,Robot,E4,,0.9039
test1,Robot,F1,,3.1054
test1,Robot,F3,,1.6575
test1,Robot,G2,,2.3319
test1,Robot,H1,,3.0793
test1,Robot,A4,,3.255
test1,Robot,D5,,0.51314
test1,Robot,E4,,1.1165
test1,Robot,F1,,3.0984
test1,Robot,F3,,1.6933
test1,Robot,G2,,2.4221
test1,Robot,H1,,3.2413
test1,Robot,A4,,3.1269
test1,Robot,D5,,0.52172
test1,Robot,E4,,1.0474
test1,Robot,F1,,3.1169
test1,Robot,F3,,1.6385
test1,Robot,G2,,2.2087
test1,Robot,H1,,3.1498
test1,Manual,A4,,3.2734
test1,Manual,D5,,0.61942
test1,Manual,E4,,1.5108
test1,Manual,F1,,3.1362
test1,Manual,F3,,2.4812
test1,Manual,G2,,2.8823
test1,Manual,H1,,3.1223
test1,Manual,A4,,3.222
test1,Manual,D5,,0.59186
test1,Manual,E4,,1.3779
test1,Manual,F1,,3.1628
test1,Manual,F3,,2.1187
test1,Manual,G2,,2.5904
test1,Manual,H1,,3.1201
test1,Manual,A4,,3.1989
test1,Manual,D5,,0.74348
test1,Manual,E4,,1.3218
test1,Manual,F1,,3.1475
test1,Manual,F3,,2.1068
test1,Manual,G2,,2.6572
test1,Manual,H1,,3.1533
test1,Manual,A4,,3.1683
test1,Manual,D5,,0.6588
test1,Manual,E4,,1.356
test1,Manual,F1,,3.1403
test1,Manual,F3,,1.9594
test1,Manual,G2,,2.5902
test1,Manual,H1,,3.1744
test2,Robot,Standard,0.2,2.0637
test2,Robot,Standard,0.066666666666667,1.3043
test2,Robot,Standard,0.022222222222222,0.75495
test2,Robot,Standard,0.007407407407407,0.38872
test2,Robot,Standard,0.002469135802469,0.19943
test2,Robot,Standard,0.00082304526749,0.13898
test2,Robot,Negative,0,0.090643
test2,Robot,Standard,0,0.059271
test2,Manual,Standard,0.2,2.0072
test2,Manual,Standard,0.066666666666667,1.4004
test2,Manual,Standard,0.022222222222222,0.9055
test2,Manual,Standard,0.007407407407407,0.43928
test2,Manual,Standard,0.002469135802469,0.24742
test2,Manual,Standard,0.00082304526749,0.15753
test2,Manual,Negative,0,0.09103
test2,Manual,Standard,0,0.046675
test2,Robot,A4,,2.6014
test2,Robot,D5,,0.60474
test2,Robot,E4,,1.1796
test2,Robot,F1,,2.3827
test2,Robot,F3,,1.3457
test2,Robot,G2,,2.0051
test2,Robot,H1,,2.3338
test2,Robot,A4,,2.3296
test2,Robot,D5,,0.27888
test2,Robot,E4,,0.57204
test2,Robot,F1,,2.1416
test2,Robot,F3,,0.9614
test2,Robot,G2,,1.5726
test2,Robot,H1,,2.1633
test2,Robot,A4,,2.3066
test2,Robot,D5,,0.32976
test2,Robot,E4,,0.68816
test2,Robot,F1,,2.1714
test2,Robot,F3,,1.0633
test2,Robot,G2,,1.4777
test2,Robot,H1,,2.1937
test2,Robot,A4,,2.1684
test2,Robot,D5,,0.30735
test2,Robot,E4,,0.58253
test2,Robot,F1,,2.1254
test2,Robot,F3,,1.095
test2,Robot,G2,,1.4191
test2,Robot,H1,,2.0807
test2,Manual,A4,,2.605
test2,Manual,D5,,0.40344
test2,Manual,E4,,0.74448
test2,Manual,F1,,2.3031
test2,Manual,F3,,1.1399
test2,Manual,G2,,1.718
test2,Manual,H1,,2.3117
test2,Manual,A4,,2.3885
test2,Manual,D5,,0.32825
test2,Manual,E4,,0.71879
test2,Manual,F1,,2.1566
test2,Manual,F3,,1.0661
test2,Manual,G2,,1.8148
test2,Manual,H1,,2.1808
test2,Manual,A4,,2.2157
test2,Manual,D5,,0.31929
test2,Manual,E4,,0.77886
test2,Manual,F1,,2.1148
test2,Manual,F3,,1.1406
test2,Manual,G2,,1.4509
test2,Manual,H1,,2.0934
test2,Manual,A4,,2.2261
test2,Manual,D5,,0.33525
test2,Manual,E4,,0.76425
test2,Manual,F1,,2.1336
test2,Manual,F3,,1.2188
test2,Manual,G2,,1.5064
test2,Manual,H1,,1.9984
test3,Robot,Standard,0.2,2.6783
test3,Robot,Standard,0.066666666666667,1.7975
test3,Robot,Standard,0.022222222222222,1.0359
test3,Robot,Standard,0.007407407407407,0.58389
test3,Robot,Standard,0.002469135802469,0.25275
